name,id_original
Karl Walter Lindenlaub,9302
Jon Avnet,9302
Mike Nichols,11000
Emmanuel Lubezki,11000
Jakov Sedlar,249882
Edward Burns,16388
Dick Fisher,16388
Michael Bay,9737
Howard Atherton,9737
Christopher Cain,30765
Scott Kalvert,10474
David Phillips,10474
Mike Newell,22279
Dick Pope,22279
Hal Hartley,30157
Michael Spiller,30157
Dean Cundey,568
Ron Howard,568
Bruce Moriarty,568
Michael Caton-Jones,11780
Karl Walter Lindenlaub,11780
Abel Ferrara,34996
Joel Schumacher,414
Stephen Goldblatt,414
William M. Elvin,414
Chas. Butcher,414
Conrad E. Palmisano,414
Luis Buñuel,649
Sacha Vierny,649
Marc Desages,649
Pierre Lary,649
John Boorman,1873
John Seale,1873
Paul Auster,5894
Wayne Wang,5894
Adam Holender,5894
Michael Moore,1775
Haskell Wexler,1775
Brad Silberling,8839
Dean Cundey,8839
Phil Nibbelink,8839
Eric Armstrong,8839
Spike Lee,20649
Frank Marshall,10329
Allen Daviau,10329
Tony Scott,8963
Dariusz Wolski,8963
Terry Zwigoff,26564
Maryse Alberti,26564
Robert Rodriguez,8068
Guillermo Navarro,8068
Tak Fujimoto,8512
Carl Franklin,8512
John McTiernan,1572
Peter Menzies Jr.,1572
Peter Rogness,1572
David B. Sharp,1572
Gregg Araki,13552
Jim Fealy,13552
Christopher Menaul,259209
Peter Sova,259209
Jerry Zucker,6520
Adam Greenberg,6520
László Kovács,9073
Dwight H. Little,9073
Iain Softley,10428
Andrzej Sekula,10428
Christopher Ashley,17447
François Protat,9886
Robert Longo,9886
Danny Cannon,9482
Adrian Biddle,9482
John Fortenberry,19326
Eric Alan Edwards,9344
Larry Clark,9344
Frank Prinzi,9071
Tom DiCillo,9071
Clive Barker,8973
Ronn Schmidt,8973
Denys Arcand,15730
Antonia Bird,47608
David Klein,2293
Kevin Smith,2293
Paul Murphy,9070
Bryan Spicer,9070
David Anspaugh,68274
Anthony Waller,48787
Egon Werdin,48787
Michael Almereyda,34574
Jim Denault,34574
Irwin Winkler,1642
Donald McAlpine,11472
Chris Columbus,11472
Daisy von Scherler Mayer,36196
Gregory Widen,11980
Richard Clabaugh,11980
Norman René,58372
Frederick Elmes,58372
Todd Haynes,32646
Alex Nepomniaschy,32646
Roland Joffé,10533
Alex Thomson,10533
Jost Vacano,10802
Paul Verhoeven,10802
Adam Holender,10149
Wayne Wang,10149
Paul Auster,10149
Lasse Hallström,18402
Sven Nykvist,18402
Andrzej Bartkowiak,9348
Roger Donaldson,9348
Mark Egerton,9348
Mike Benson,9348
James Keach,139408
Matthew F. Leonetti,281
Kathryn Bigelow,281
Jacques Demy,5967
Jean Rabier,5967
Wesley Strick,79593
Bobby Bukowski,79593
Martha Coolidge,47939
Agnieszka Holland,36834
Giorgos Arvanitis,36834
Beeban Kidron,9090
Steve Mason,9090
Geoff Murphy,3512
Robbie Greenberg,3512
Carol Winstead Wood,3512
Diane Keaton,52856
Douglas Keeve,77350
Alfonso Aráu,9560
Emmanuel Lubezki,9560
Mauricio de Aguinaco,9560
John Dexter,9560
Dean Semler,9804
Kevin Reynolds,9804
Steve Burg,9804
Alan B. Curtiss,9804
Desmond Nakano,31611
Walter Hill,65796
Mike Figgis,49805
Greg Beeman,26258
Nikita Mikhalkov,50797
Vilen Kalyuta,50797
Vladimir Krasinsky,50797
Manuel Teran,19155
Milčo Mančevski,19155
Vanja Aljinovic,19155
Mary Soan,19155
Piers Thompson,19155
Nikola Lazarevski,19155
Richard Linklater,76
Lee Daniel,76
